ip_address,total_requests,failed_requests,successful_requests,failure_ratio,unique_usernames,username_diversity,unique_endpoints,endpoint_concentration,unique_user_agents,user_agent_concentration,primary_user_agent,primary_endpoint,country,active_duration_seconds,requests_per_minute,timing_regularity,target_usernames,feat_failure_ratio,feat_username_diversity,feat_endpoint_concentration,feat_ua_concentration,feat_timing_regularity,feat_request_frequency
103.10.160.196,11,10,1,0.9091,11,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,NG,3872.0,0.1705,0.7765,elena.target361@corp.local|liam.target177@techhub.io|sneha.target279@example.com|karen.target45@corp.local|yasmin.target212@cloudsec.org|frank.target79@mailservice.net|nina.target191@example.com|julia.target323@mailservice.net|sneha.target368@example.com|rachel.target271@techhub.io|olivia.target267@mailservice.net,0.9091,1.0,1.0,1.0,0.7765,0.0383
103.10.186.9,8,8,0,1.0,8,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,CN,2301.0,0.2086,0.5797,sophia.target168@corp.local|nina.target288@corp.local|victor.target111@cloudsec.org|quinn.target215@corp.local|alice.target86@techhub.io|george.target58@techhub.io|tarun.target88@mailservice.net|brian.target330@corp.local,1.0,1.0,1.0,1.0,0.5797,0.0461
103.100.238.34,13,13,0,1.0,13,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,NG,3229.0,0.2416,0.6133,kevin.target40@example.com|zach.target281@example.com|aravind.target41@mailservice.net|kevin.target240@example.com|mia.target128@cloudsec.org|claire.target16@corp.local|alice.target211@corp.local|daniel.target207@example.com|sneha.target368@example.com|wendy.target74@cloudsec.org|claire.target292@corp.local|frank.target65@techhub.io|felix.target182@corp.local,1.0,1.0,1.0,1.0,0.6133,0.0526
103.100.246.251,11,10,1,0.9091,11,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,ID,3720.0,0.1774,0.6141,zach.target241@example.com|david.target243@corp.local|elena.target316@cloudsec.org|wendy.target250@example.com|daniel.target207@example.com|wendy.target315@mailservice.net|tarun.target332@mailservice.net|sneha.target368@example.com|yasmin.target159@cloudsec.org|sophia.target227@corp.local|peter.target366@example.com,0.9091,1.0,1.0,1.0,0.6141,0.0397
103.100.91.161,11,11,0,1.0,11,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,ID,3478.0,0.1898,0.6602,grace.target60@corp.local|charlie.target31@corp.local|claire.target292@corp.local|aravind.target348@example.com|yasmin.target212@cloudsec.org|brian.target330@corp.local|elena.target160@corp.local|robert.target106@example.com|frank.target143@cloudsec.org|zach.target281@example.com|noah.target19@corp.local,1.0,1.0,1.0,1.0,0.6602,0.0423
103.101.21.177,6,6,0,1.0,6,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,US,2288.0,0.1573,0.7361,karen.target33@corp.local|ursula.target268@mailservice.net|emma.target176@cloudsec.org|rachel.target224@techhub.io|hannah.target369@corp.local|yasmin.target167@corp.local,1.0,1.0,1.0,1.0,0.7361,0.0355
103.101.29.221,9,9,0,1.0,9,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,RU,3208.0,0.1683,0.7061,paula.target136@example.com|yasmin.target6@techhub.io|ananya.target162@techhub.io|felix.target182@corp.local|karen.target266@mailservice.net|wendy.target315@mailservice.net|peter.target291@mailservice.net|tarun.target242@corp.local|george.target152@example.com,1.0,1.0,1.0,1.0,0.7061,0.0378
103.101.86.175,13,13,0,1.0,13,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,US,4599.0,0.1696,0.6619,ananya.target162@techhub.io|rachel.target138@techhub.io|sam.target129@corp.local|kevin.target5@corp.local|quinn.target244@techhub.io|claire.target108@corp.local|paula.target29@techhub.io|brian.target91@cloudsec.org|sneha.target75@cloudsec.org|frank.target120@cloudsec.org|tarun.target172@mailservice.net|elena.target102@mailservice.net|sam.target144@cloudsec.org,1.0,1.0,1.0,1.0,0.6619,0.0381
103.102.222.28,7,7,0,1.0,7,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,CN,1604.0,0.2618,0.6117,ursula.target268@mailservice.net|mia.target148@techhub.io|deepak.target97@corp.local|alex.target251@example.com|robert.target23@corp.local|paula.target8@example.com|kevin.target264@techhub.io,1.0,1.0,1.0,1.0,0.6117,0.0566
103.102.239.10,13,12,1,0.9231,13,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,US,4142.0,0.1883,0.7053,charlie.target35@cloudsec.org|mia.target128@cloudsec.org|victor.target219@mailservice.net|charlie.target31@corp.local|quinn.target215@corp.local|priya.target83@example.com|elena.target61@cloudsec.org|tarun.target208@cloudsec.org|bob.target30@corp.local|robert.target278@mailservice.net|xander.target223@techhub.io|sneha.target273@cloudsec.org|ananya.target48@corp.local,0.9231,1.0,1.0,1.0,0.7053,0.042
103.102.247.116,14,13,1,0.9286,14,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,RO,4756.0,0.1766,0.6791,sam.target129@corp.local|elena.target316@cloudsec.org|emma.target265@example.com|karen.target37@mailservice.net|sneha.target232@corp.local|isabella.target277@corp.local|sneha.target374@cloudsec.org|ananya.target285@techhub.io|charlie.target35@cloudsec.org|zach.target122@cloudsec.org|emma.target118@mailservice.net|wendy.target12@mailservice.net|brian.target221@corp.local|sneha.target75@cloudsec.org,0.9286,1.0,1.0,1.0,0.6791,0.0396
103.103.101.47,7,7,0,1.0,7,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,ID,2214.0,0.1897,0.6759,george.target131@cloudsec.org|ananya.target285@techhub.io|charlie.target130@cloudsec.org|kevin.target32@cloudsec.org|david.target358@mailservice.net|julia.target101@cloudsec.org|rachel.target340@cloudsec.org,1.0,1.0,1.0,1.0,0.6759,0.0423
103.103.45.166,10,9,1,0.9,10,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,BR,3798.0,0.158,0.7116,oscar.target2@mailservice.net|oscar.target34@cloudsec.org|grace.target287@mailservice.net|nina.target288@corp.local|felix.target258@techhub.io|olivia.target322@example.com|david.target358@mailservice.net|nina.target191@example.com|alex.target98@cloudsec.org|ananya.target162@techhub.io,0.9,1.0,1.0,1.0,0.7116,0.0357
103.104.142.43,6,6,0,1.0,6,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,IN,1804.0,0.1996,0.5734,sneha.target75@cloudsec.org|karen.target137@example.com|alex.target275@corp.local|thomas.target306@mailservice.net|ursula.target296@techhub.io|wendy.target252@cloudsec.org,1.0,1.0,1.0,1.0,0.5734,0.0443
